Province,Western Cape,Eastern Cape,Northern Cape,Free State,KwaZulu Natal,North West,Gauteng,Mpumalanga,Limpopo,All
Population,5822734,11562053,1145861,2745590,10267300,3509953,12272263,4039939,5404868,56770561
Population,10.25660817,20.3662828,2.01840704,4.836291824,18.08560602,6.182699163,21.61730091,7.116256963,9.520547102,100
