"Province","Western Cape","Eastern Cape","Northern Cape","Free State","KwaZulu Natal","North West","Gauteng","Mpumalanga","Limpopo","All"
,,,,,,,,,,"Supplier of water"
"Municipality","96.16","71.36","83.85","94.61","82.65","74.64","95.89","82.39","66.91","83.13"
"Other water scheme","3.02","3.68","10.10","1.20","4.03","8.12","1.30","4.57","6.57","4.30"
"Not supplied by water scheme","0.63","24.63","5.31","4.06","12.16","15.55","1.64","11.43","24.71","11.57"
"Do Not Know","0.00","0.17","0.74","0.14","0.84","1.69","0.86","1.57","1.74","0.85"
"Missing","0.19","0.17","0.00","0.00","0.33","0.00","0.31","0.04","0.07","0.15"
,,,,,,,,,,"Distance to main source of water"
"200 metres or less","5.49","19.64","12.61","3.27","13.41","16.44","2.90","11.47","24.54","12.28"
"201 to 500 metres","0.56","14.27","3.17","0.51","9.27","6.98","1.14","8.21","11.78","6.61"
"501 metres to 1 kilometre","0.04","8.03","0.29","0.46","7.70","4.68","0.28","3.18","6.74","3.89"
"More than 1 kilometre","0.00","2.36","0.00","0.00","2.07","0.75","0.00","0.89","2.64","1.11"
"Do Not Know","0.00","0.00","0.00","0.00","0.00","0.10","0.00","0.13","0.10","0.03"
"Not Applicable","93.62","55.13","83.11","95.35","67.09","70.60","95.18","75.15","53.35","75.50"
"Missing","0.30","0.57","0.81","0.41","0.46","0.45","0.49","0.97","0.83","0.57"
