"Province","Western Cape","Eastern Cape","Northern Cape","Free State","KwaZulu Natal","North West","Gauteng","Mpumalanga","Limpopo","All"
"Male","64.28","49.06","56.86","56.64","50.99","55.56","64.61","55.17","45.95","55.22"
"Age (Years)","48.87","52.25","49.25","47.42","48.84","49.87","46.68","48.70","51.04","49.22"
"Household size","3.72","3.85","3.82","3.38","4.18","3.67","3.46","3.91","4.02","3.80"
"Income (Rand)","11,385.9","8,163.75","9,658.12","8,771.33","3,734.39","6,232.23","10,195.8","8,843.49","6,504.64","5,114.95"
"Indigent","20.88","26.09","31.02","23.52","12.88","16.91","43.09","21.45","15.34","23.16"
