"","WSA Name","Population","Population with access  to water","Population Reliable Supply","% Population Reliable Supply","Urban Population","Urban Population with access to water","Urban Population Reliable Supply","% Urban Population Reliable Supply","Rural Population","Rural Population  with access  to water","Rural Population Reliable Supply","% Rural Population Reliable Supply"
"","Knysna","81 450","81 290","68 184","84%","76 704","76 569","64 236","84%","4 746","4 721","3 948","83%"
"","Laingsburg","9 812","9 812","8 770","89%","7 082","7 082","6 328","89%","2 730","2 730","2 442","89%"
"","Langeberg","116 389","115 483","107 016","92%","85 270","84 752","78 473","92%","31 119","30 731","28 543","92%"
"","Matzikama","78 288","78 288","72 545","93%","45 125","45 125","41 826","93%","33 163","33 163","30 719","93%"
"","Mossel Bay","103 919","102 862","95 230","92%","97 511","96 531","89 382","92%","6 408","6 331","5 848","91%"
"","Oudtshoorn","107 189","106 251","93 373","87%","87 854","87 184","76 603","87%","19 335","19 067","16 770","87%"
"","Overstrand","103 531","103 216","88 593","86%","97 479","97 164","83 429","86%","6 052","6 052","5 164","85%"
"","Prince Albert","15 751","15 751","14 774","94%","12 099","12 099","11 344","94%","3 652","3 652","3 430","94%"
"","Saldanha Bay","122 954","122 521","106 367","87%","118 126","117 693","102 174","86%","4 828","4 828","4 193","87%"
"","Stellenbosch","191 361","186 423","141 716","74%","137 860","134 502","102 159","74%","53 501","51 921","39 557","74%"
"","Swartland","148 376","141 105","130 702","88%","96 301","91 712","84 813","88%","52 075","49 393","45 889","88%"
"","Swellendam","44 466","43 612","40 688","92%","31 056","30 509","28 467","92%","13 410","13 103","12 221","91%"
"","Theewaterskloof","129 268","129 268","111 419","86%","89 440","89 440","77 054","86%","39 828","39 828","34 365","86%"
"","Witzenberg","144 425","143 095","127 912","89%","76 232","75 666","67 591","89%","68 193","67 429","60 321","88%"
